,reviews
0,"

  I got the wire to charge my iphone after being disappointed by so may others out there.. this one proved to be great! The 3 different charging extension helps me charge my phone and the power bank in one go and is overall very efficient. I just carry around this one charging wire for all my electronic needs! The wire charges fast and is a great asset for me

"
1,"

  It's a very good multi charging cable. Don't know if it's a fast charging cable but it charges fast if used with single device at a time.I definitely recommend this product.

"
2,"

  I have 3 phones , 1 Has lightning port, 1 Has type C , 1 Has micro usb.This thing is really helpful to me as I have only 2 sockets in my hostel room and borrowing an extension from my friends isn’t always good. So this is the thing for me. Overall I think the packaging could have been better rest everything is fine.Update : It stopped working.

"
3,"

  Its good in length, strong, and does fast charging in every type. I love  it because of its three type usage. My brother and i both charge and play phone simultaneously together. Loved it

"
4,"

  We cool nylon 3 in 1 cable is too good.  You can charge multiple devices at the same time. It charges very fast. And the headache of carrying multiple chargers with you when you are travelling is also solved as you you can charge your iPhone or any android phone with this. At this price it offers very good value for money

"
5,"

  It doesn't support Data. It is only charging cable. Didn't expect WeCool can provide wrong information....

"
6,"

  I have a lot of devices. And iPad Pro 11, iPhone 11 Pro and android phones so carrying different chargers for every phone is a real hassle. So I ordered this cable. I have tried It with all of my devices and it is working fine with all devices with different ports type. However when I tried charging three devices of different port types together, charging speed was too slow so I charged one device at one time and then it is working fine.

"
7,"

  Nice quality product it’s very nice and handy. Wire quality is excellent it’s very flexible to bend in any position. It has 3 extensions which can be attached to any phones. I liked this product and very happy to buy this.

"
8,"

  My note 10 plus is taking 4 hours to charge fully in this..worst cable ..dont buy.

"
9,"

  The cable is built sturdy. It does not support fast charging.I bought it for fast-charging. Unfortunately, it doesn't fast charge.

"
10,"

  I got the wire to charge my iphone after being disappointed by so may others out there.. this one proved to be great! The 3 different charging extension helps me charge my phone and the power bank in one go and is overall very efficient. I just carry around this one charging wire for all my electronic needs! The wire charges fast and is a great asset for me

"
11,"

  It's a very good multi charging cable. Don't know if it's a fast charging cable but it charges fast if used with single device at a time.I definitely recommend this product.

"
12,"

  I have 3 phones , 1 Has lightning port, 1 Has type C , 1 Has micro usb.This thing is really helpful to me as I have only 2 sockets in my hostel room and borrowing an extension from my friends isn’t always good. So this is the thing for me. Overall I think the packaging could have been better rest everything is fine.Update : It stopped working.

"
13,"

  Its good in length, strong, and does fast charging in every type. I love  it because of its three type usage. My brother and i both charge and play phone simultaneously together. Loved it

"
14,"

  We cool nylon 3 in 1 cable is too good.  You can charge multiple devices at the same time. It charges very fast. And the headache of carrying multiple chargers with you when you are travelling is also solved as you you can charge your iPhone or any android phone with this. At this price it offers very good value for money

"
15,"

  It doesn't support Data. It is only charging cable. Didn't expect WeCool can provide wrong information....

"
16,"

  I have a lot of devices. And iPad Pro 11, iPhone 11 Pro and android phones so carrying different chargers for every phone is a real hassle. So I ordered this cable. I have tried It with all of my devices and it is working fine with all devices with different ports type. However when I tried charging three devices of different port types together, charging speed was too slow so I charged one device at one time and then it is working fine.

"
17,"

  Nice quality product it’s very nice and handy. Wire quality is excellent it’s very flexible to bend in any position. It has 3 extensions which can be attached to any phones. I liked this product and very happy to buy this.

"
18,"

  My note 10 plus is taking 4 hours to charge fully in this..worst cable ..dont buy.

"
19,"

  The cable is built sturdy. It does not support fast charging.I bought it for fast-charging. Unfortunately, it doesn't fast charge.

"
20,"

  I use this cable to charge 3 kind of device one at a time, cable help to charge device but it failed after 30days of using it. This cable dose not support data transfer for any kind of devicefrom outside quality looks good but internal connection with jack is fragileThere is warranty you can't claim as there is a underlining to register this cable in before 15 days of purchase.

"
21,"

  I got cheated. I did not check the country of Origin and bought a Made In China product. I have stopped buying products made in that country since Made in India movement emphasis. This is another defective product. The prong for the Apple I Phone does not work at all. I tried with three different I phones 5S that I have and this did not work with any of those. It worked only on OppO phone. I paid for three prongs while only one works.  Be careful if you buy this one....... The cover sleeve from the I Phone charging prong came off within the first 5 minutes!!!!!!!!!!!!!! That speaks for the Quality!!!!!!!!!!

"
22,"

  The product looks classy and compact. Cable that arrived was faulty. It works only if charging device is placed at specific angles. Got replacement but the new cable charges slow even with a single device. When you connect multiple devices simultaneously the adapter heats up and charges slow. This cable took 6 hours to charge a single device with 3000 mAh battery. The type C cable is a one side cable, it doesn't charge when connected with the blank side on top. Want to return it but they just have 10 days replacement option. Do not recommend it.

"
23,"

  Liked this 3 in 1 concept to save some money instead of buying multiple cables but finally incurred loss. I purchased this cable few weeks back. It says fast charging, but it's charging speed is less than normal speed. Not even able to charge 10% in an hour. I have used it hardly for 15 days. Waste of money.

"
24,"

  Very cheap quality product..didn’t last even for a week...I seriously thought it’ll be a great product as I can charge all my phone in 1 go but it really turned out to be a very cheap product.. yesterday while I was pull out the I phone jack from my phone , I was surprised to see the charging pin was broken & was stuck in my I phone charging point.. very disappointed with the quality of the product..not gonna buy any lead from Amazon in future , God knows if they are of same quality 😡😡😡😡

"
25,"

  The cable cannot be used in the car with Android Auo or Apple Car play. Buy only if you want to charge your devices and not have any data transfer over it.Unfortunately Amazon doesn’t let me return this even though it is not useful for me.

"
26,"

  There doesn’t seem to be enough charging power travelling through this chord as It says it charges all three at the same time, i say the lightning cable doesn’t work at all!! I have tried in both of my iphones and it simply doesn’t charge!! Only micro usb cable works

"
27,"

  This cable is quite bad on all levels.It's USB-C  connector stopped charging within a few months of purchase. It cannot charge 2 or more devices simultaneously either. Braided cable is ok, but plastic covers on connectors broke off within 2-3 days of use. It is being sold for Rs 350, but the overall quality is same as cables sold for Rs 150 in roadside stalls.I had taken it on a long trip and had to buy new cables because it stopped working. Typical chinese low quality stuff.

"
28,"

  The only thing fast about this order was the delivery, which reached me within 3 hours from ordering. The cable does not support fast charging. It's slower than regular charging without the dash adapter. False advertising.Cannot comment about the durability or strength yet. But expecting to be fully disappointed on those counts too.

"
29,"

  The delivery package came in a small plastic bag, it looked strudy but with in two days the wire fixtures coming off . They seem to be just stuck around with bad glue . The wire parts around the charging point and usb point all have come off. Dont purchase , not worth the money.Not at all fast charging.

"
30,"

  Does not support fast charging for my Samsung device.No point of buying...hence I am returning my product

"
31,"

  I purchased it for triple use with my OnePlus Nord (Type C USB), older Samsung Galaxy 7 (Micro USB and iPad.I found that the Type C pin is a little over-sized and would not connect. I tried it with another Samsung phone with Type C port and there also it would not connect.Obviously I did not use excesssive force to avoid damaage to the bult in female portion in the phone.  ( I have other Type C connectors and they  are mating smoothly). Howerver, other pins viz., microUSB and iP pins are OK. The nylon braiding and look are all fine.In short it didnt serve the purpose for which I bought it. Looks like there was no quality control or  it is a reject . Dont buy it if you are looking for use with Type C port device.

"
32,"

  The cable wire is a 2nd replacement, however is not compatible for Iphone 6s Plus as against mentioned is the brief description of the product.We are obligated to either thrash away the cable wire or keep replacing it since it does not work even on MI Note 7 phone.  As a customer we don't have time to keep replacing things, should be accurate in the first go.

"
33,"

  Amazon should take it updating the product description.This cable doesn't support fast charging.Cable durability and quality wise is good. But Its normal charging wire. Even data transfer is also not that fast.

"
